publication,year,wordRate,wordCount,flatRate,totalPaid,paymentDifficulty,daysToBePaid,storyType,levelOfReporting,relationship,rights,platform,contract,comment
California Sunday Magazine,2017,0.89,4500.0,False,4005.0,2.0,42,Feature,Heavy,Cold Pitch,First,Digital,Yes,
Wisecrack,2017,0.14,3500.0,False,490.00000000000006,2.0,42,,Light,Solicited Pitch,All,Digital,Verbal,"""Rate is per video script."""
Vice Sports,2017,0.3,2000.0,False,600.0,1.0,30,Feature,Heavy,Ongoing,Unknown/Other,Digital,Verbal,
Vice Sports,2016,0.12,4973.0,False,596.76,2.0,Not Yet,Feature,Heavy,Ongoing,All,Digital,No,"""Publication paid for travel expenses"""
Vice Sports,2016,0.25,1500.0,False,375.0,1.0,30,,,,Unknown/Other,Digital,,
Vice Sports,2016,0.18,4500.0,False,810.0,1.0,Not Yet,Profile,Heavy,Ongoing,All,Digital,Verbal,
Vice Sports,2016,0.23,2200.0,False,506.0,1.0,30,Profile,Medium,Referral,First,Digital,Yes,"""Pitched through literary agent."""
Vice Sports,2016,0.18,2200.0,False,396.0,3.0,60,Opinion,Medium,Ongoing,Unknown/Other,Digital,Yes,
Vice Sports,2014,0.27,1500.0,False,405.0,,,Opinion,Medium,Ongoing,First,Digital,Yes,
Vice Sports,2014,0.13,750.0,False,97.5,,,News,Medium,Ongoing,Unknown/Other,Digital,Yes,"""As previously reported invoices are processed by accounting the 15th and 30th of each month, and cash is direct deposited 30 days following the invoice process date.

I have been writing for various Vice Media sections for about a year, and this is the first contract I have signed. It's a one-off arrangement, and only applied to the one assignment. The editor who gave me the contract has since left the company, and I haven't been given another contract since.
"""
Pittsburgh Quarterly,2018,0.5,1400.0,False,700.0,1.0,42,Feature,Medium,Cold Pitch,First,Digital,No,
Pittsburgh Quarterly,2017,0.5,1400.0,False,700.0,1.0,30,Feature,Medium,Cold Pitch,Unknown/Other,Digital,No,
Flare,2018,0.36,750.0,False,270.0,1.0,15,,,,All,Digital,,
Flare,2018,0.38,1333.0,False,506.54,1.0,15,Opinion,Medium,Ongoing,All,Digital,No,
Flare,2018,0.29,1318.0,False,382.21999999999997,1.0,30,Feature,Light,Cold Pitch,Unknown/Other,Digital,Yes,
Flare,2015,0.8,375.0,False,300.0,,,Opinion,Light,Cold Pitch,All,Digital,Verbal,"""Payment is processed within 45 days from submission of the article. Good communication."""
La Review Of Books,2018,0.06,1800.0,False,108.0,2.0,60,Criticism,Heavy,Cold Pitch,First,Digital,Verbal,
Free Speech Radio News,2017,0.34,593.0,False,201.62,1.0,30,Feature,Medium,Assignment,First,Digital,Yes,
The Jewish Advocate,2017,0.05,800.0,False,40.0,5.0,90,Criticism,Light,Ongoing,Unknown/Other,Digital,No,"""Perhaps this was not true in the past but these days the turnover seems unusually high. I can only wonder if this is because my experience was not uncommon and other freelancers are also not getting paid on time and treated properly for their work."""
The Jewish Advocate,2016,0.07,750.0,False,52.50000000000001,1.0,30,News,Medium,Assignment,All,Digital,No,
Lifestyle Publications,2015,0.07,750.0,False,52.50000000000001,,,News,Medium,Ongoing,First,Digital,No,"""$50-100 per piece. Started with cold pitch but now have pre-existing relationship with editor so get commission and solicited work, work and pay are consistent once relationship established, not all stories submitted make it to print though so sometimes thats a negative"""
Undark,2018,0.48,1050.0,False,504.0,1.0,30,Opinion,Light,Cold Pitch,First,Digital,Yes,
Undark,2018,1.0,500.0,False,500.0,1.0,15,Blog,Light,Cold Pitch,Unknown/Other,Digital,No,"""Undark is a great publication. Editor is good and straightforward, I found. They pay $1/word of commissioned length."""
Undark,2018,0.42,1200.0,False,504.0,1.0,15,Opinion,Medium,Cold Pitch,First,Digital,No,
Undark,2018,1.0,1500.0,False,1500.0,1.0,30,Feature,Medium,Cold Pitch,First,Print,Yes,
Undark,2018,1.0,1500.0,False,1500.0,1.0,30,,,,All,Digital,,
Undark,2017,0.53,950.0,False,503.5,2.0,60,Opinion,Medium,Ongoing,All,Digital,Yes,
Undark,2017,1.0,1500.0,False,1500.0,2.0,30,,,,First,Digital,,
Undark,2017,0.4,3000.0,False,1200.0,1.0,15,Feature,Heavy,Cold Pitch,First,Digital,Yes,"""Great editing experience, about five rewrites, but the editors were very, very thorough. Was paid before publication. Not sure that's ever happened to me before!"""
Undark,2016,0.5,500.0,False,250.0,2.0,Not Yet,Blog,Medium,Cold Pitch,First,Digital,Yes,
Undark,2016,,375.0,,,,,Opinion,Light,Assignment,,Digital,Yes,
Imbibe,2018,0.67,600.0,False,402.0,1.0,60,FoB,Light,Ongoing,All,Print,Yes,
Imbibe,2018,0.65,2000.0,False,1300.0,1.0,60,Feature,Medium,Assignment,All,Print,Yes,
Recruiter Today,2017,0.07,700.0,False,49.00000000000001,1.0,15,Feature,Medium,Ongoing,All,Digital,Yes,
Arc Digital,2018,0.05,1000.0,False,50.0,1.0,15,Opinion,Light,Cold Pitch,Unknown/Other,Digital,Verbal,
Ny Arts Magazine,2015,0.0,3000.0,False,0.0,,,Criticism,Heavy,Ongoing,Unknown/Other,Print,No,
Artnews,2017,0.8,2500.0,False,2000.0,1.0,30,Feature,Medium,Assignment,All,Print,Yes,
Artnews,2013,0.83,300.0,False,249.0,,,FoB,,,,Print,,
Washingtonian,2016,1.0,1020.0,False,1020.0,2.0,30,FoB,Medium,Assignment,Unknown/Other,Digital,No,
Washingtonian,2015,1.07,750.0,False,802.5,,,Opinion,Light,Cold Pitch,,Digital,Yes,
Hyperallergic,2018,0.13,750.0,False,97.5,1.0,30,Criticism,Light,Ongoing,Unknown/Other,Digital,No,
Hyperallergic,2018,0.08,1300.0,False,104.0,3.0,30,Criticism,Heavy,Referral,Unknown/Other,Digital,No,"""I should have taken this piece to another publication but it was the first piece I'd ever written for pay, so I was mostly concerned with getting it published at all. This was a reported feature with no time hook, no news peg."""
Hyperallergic,2018,0.1,1000.0,False,100.0,4.0,Not Yet,Opinion,Light,Referral,First,Digital,No,
Hyperallergic,2018,0.11,950.0,False,104.5,2.0,60,Criticism,Light,Ongoing,Unknown/Other,Digital,No,"""Multiple rounds of revision back and forth, poor timeline communication from editor"""
Hyperallergic,2017,0.1,1000.0,False,100.0,2.0,60,Criticism,Medium,Referral,Unknown/Other,Digital,Yes,
Hyperallergic,2016,0.15,500.0,False,75.0,2.0,60,Criticism,Medium,Ongoing,All,Digital,No,
Hyperallergic,2015,0.05,1500.0,False,75.0,,,News,Medium,Ongoing,First,Digital,Yes,
Hyperallergic,2015,0.05,1500.0,False,75.0,,,News,Medium,Ongoing,First,Digital,Yes,
American Educator,2017,0.0,1200.0,False,0.0,,,Feature,Medium,Cold Pitch,First,Digital,No,"""Editor put me through a bunch of hassle, changing contact for the story & asking follow-up questions before revealing they don't pay writers."""
Parallax News,2016,0.09,1350.0,False,121.5,2.0,30,,Light,Ongoing,All,Digital,Yes,
Monocle,2016,0.91,400.0,False,364.0,2.0,42,FoB,Medium,Assignment,First,Digital,Verbal,
Monocle,2013,,,,,,,,,,,Print,,"""They pay 60 British Pence per word"""
World Politics Review,2017,0.25,3000.0,False,750.0,1.0,15,News,Heavy,Referral,First,Digital,Yes,
Ourselves Black,2016,0.06,800.0,False,48.0,4.0,Not Yet,News,Medium,Assignment,All,Digital,Verbal,
Sb Nation,2016,0.1,2000.0,False,200.0,3.0,30,Feature,Medium,Ongoing,First,Digital,,
Esquire (online),2017,0.16,3200.0,False,512.0,2.0,42,Feature,Heavy,Cold Pitch,Unknown/Other,Digital,Yes,
Esquire (online),2016,0.26,2314.0,False,601.64,3.0,60,Profile,Medium,Cold Pitch,All,Digital,Yes,
Esquire (online),2013,,,True,50.0,,,Feature,,,,Digital,,
Yahoo Beauty,2015,0.43,750.0,False,322.5,,,Opinion,Light,Cold Pitch,All,Digital,Yes,"""$.50/word"""
Urban Agenda Magazine,2013,0.4,1000.0,False,400.0,,,Feature,,,,,,"""“argued up from $300.”"""
The Baltimore Sun,2018,0.19,400.0,False,76.0,2.0,42,,Medium,Referral,All,,No,"""I worked on election night. I wrote two blurbs at polling locations, which were not published, and fed quotes from a congressman to the editor. I am a graduate student; the Sun reached out to us and professors recommended me."""
Successful Farming,2017,0.64,1566.0,False,1002.24,1.0,15,Feature,Medium,Cold Pitch,First,Digital,Yes,"""Editors were a pleasure to work with. Piece did go through 3 (minor) rounds of edits, but all edits were clearly to answer potential reader questions and make the piece better. VERY quick payment once an invoice was submitted--the piece hasn't even ran yet! Paid $50 extra per photo. Would love to write for them again!"""
The Walrus,2018,1.0,5000.0,False,5000.0,1.0,15,Feature,Heavy,Ongoing,Unknown/Other,Print,Yes,
The Walrus,2018,0.1,4000.0,False,400.0,3.0,15,Opinion,Medium,Assignment,All,Digital,Yes,"""Three months turnaround on an edit that completely contradicted the initial assignment. Filed a re-write, then another three months of polite, persistent emails for acknowledgement of receipt. Editor finally agreed to a kill fee (I had to ask more than once if the assignment was dead) only to suggest I invoice for only 75% of what I was contractually owed. I invoiced for the full amount was paid very promptly in about a week."""
The Walrus,2018,1.0,750.0,False,750.0,1.0,15,Opinion,Light,Solicited Pitch,First,Digital,Yes,
The Walrus,2018,0.77,700.0,False,539.0,1.0,15,Opinion,Medium,Solicited Pitch,First,Digital,Yes,
The Walrus,2018,1.0,700.0,False,700.0,5.0,Not Yet,Opinion,Medium,Assignment,First,Digital,Yes,"""The piece was assigned in February, I submitted a final edit in March. In June, a ""fact checked and copy edited,"" clean, print-ready draft was returned to me that had completely rewritten without my input, which included significant new language and factual errors introduced by the fact checker. Flagging these changes and asking for a reverted draft resulted in the piece landing back in factcheck. The magazine refuses to accept an invoice for a piece before it has gone through this new fact check process. As a result we are ~5 months out from my submitting my final edits and my invoice has not been fulfilled or even accepted."""
The Walrus,2018,0.2,4000.0,False,800.0,4.0,Not Yet,,,,First,Digital,,
The Walrus,2017,1.0,800.0,False,800.0,3.0,60,FoB,Medium,Ongoing,First,Print,Yes,
The Walrus,2017,1.0,5000.0,False,5000.0,1.0,15,Feature,Heavy,Solicited Pitch,First,Print,Yes,
The Walrus,2016,0.42,1200.0,False,504.0,2.0,60,Feature,Medium,Referral,All,Digital,Yes,"""Editor was slow to reply to emails and inquiries - more than a week, sometimes two weeks. Sometimes my emails would ""get lost"" and I'd have to email twice before I got a reply; some requests went entirely ignored."""
The Walrus,2016,0.2,2000.0,False,400.0,3.0,Not Yet,,,,First,Digital,,
The Walrus,2016,0.25,1200.0,False,300.0,1.0,,Feature,Medium,Cold Pitch,Unknown/Other,Digital,Verbal,
The Walrus,2013,,,,,,,Feature,,,,Digital,,
Sonoma Valley Sun,2017,0.1,1200.0,False,120.0,4.0,60,Feature,Medium,Ongoing,All,Digital,Yes,
Mdedge,2018,0.5,350.0,False,175.0,2.0,60,News,Light,Cold Pitch,All,Digital,Yes,
Smashing Magazine,2018,0.07,2900.0,False,203.00000000000003,1.0,15,Opinion,Light,Referral,Unknown/Other,Digital,Verbal,
Smashing Magazine,2014,0.13,1500.0,False,195.0,,,Opinion,Medium,Solicited Pitch,First,Digital,Yes,
Rappler,2015,0.0,750.0,False,0.0,,,Opinion,Medium,Cold Pitch,First,Digital,No,
Science Magazine,2017,0.6,700.0,False,420.0,1.0,30,,,,Unknown/Other,Digital,,
Science Magazine,2017,6.0,1500.0,False,9000.0,1.0,42,,,,Unknown/Other,Print,,
Science Magazine,2015,0.8,1500.0,False,1200.0,,,News,Heavy,Ongoing,First,Print,Yes,""" Prior rate was $1,500 per page but it is now $1,200 per page for the print magazine. """
Science Magazine,2014,1.33,1500.0,False,1995.0,,,News,Heavy,Ongoing,First,Print,Yes,"""Science pays $1500/page for news stories (including features) in the print magazine."""
Science Magazine,2014,0.47,750.0,False,352.5,,,News,Medium,Ongoing,First,Digital,Yes,"""Very prompt payment."""
Creative Screenwriting,2015,0.01,5000.0,False,50.0,,,Profile,Medium,Ongoing,First,Digital,Yes,
Something Else! Reviews,2018,0.37,1500.0,False,555.0,5.0,Not Yet,,,,Secondary,Digital,,
Something Else! Reviews,2013,0.0,1500.0,False,0.0,,,Profile,Medium,Ongoing,,Digital,No,
New African,2018,0.15,1200.0,False,180.0,4.0,>90,Profile,Medium,Ongoing,Unknown/Other,Digital,No,
New African,2017,0.18,2000.0,False,360.0,1.0,Not Yet,Criticism,Medium,Spec,First,Digital,No,
The Week Website,2018,0.19,800.0,False,152.0,1.0,30,Feature,Medium,Cold Pitch,All,Digital,Yes,"""Editor was great to work with"""
The Week Website,2017,0.12,1300.0,False,156.0,1.0,Not Yet,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,
The Week Website,2016,0.19,800.0,False,152.0,1.0,30,News,Medium,Cold Pitch,All,Digital,Yes,
Billboard,2018,0.2,1000.0,False,200.0,2.0,15,Blog,Light,Ongoing,Unknown/Other,Digital,Verbal,
Billboard,2018,0.2,1000.0,False,200.0,2.0,42,,,,Unknown/Other,Digital,,
Billboard,2018,0.09,1600.0,False,144.0,4.0,90,Opinion,Medium,Referral,First,Digital,No,
Billboard,2017,0.1,1000.0,False,100.0,5.0,Not Yet,Criticism,Light,Ongoing,Unknown/Other,Digital,Yes,
Billboard,2017,0.5,500.0,False,250.0,3.0,Not Yet,News,Light,Cold Pitch,First,Digital,Yes,
Billboard,2016,0.29,6000.0,False,1739.9999999999998,1.0,Not Yet,Criticism,Heavy,Ongoing,All,Digital,Yes,"""they always pay in 45+ days, even if they say earlier even though they say 45 at most!"""
Billboard,2016,0.15,1000.0,False,150.0,1.0,42,,,,Unknown/Other,Digital,,
Newsmotion,2013,,,True,200.0,,,,,,,Digital,,
Edible D.c.,2013,,,,,,,,,,,,,
Western New York Physician,2017,0.17,2400.0,False,408.00000000000006,1.0,15,Feature,Medium,Assignment,All,Digital,No,"""Editor requires sources to review because of level of technical language involved. Extensive editing by the sources, who are all surgeons, so this matched my previous experience with high-level medical professionals. Editor was very supportive."""
Christianity Today,2017,0.16,1234.0,False,197.44,4.0,90,Profile,Heavy,Cold Pitch,First,Digital,No,"""Worked with the editor on a piece for 5 months before submitting because every couple weeks, she'd change who she wanted interviewed or what the piece was about. Each change came with a lengthy conference call or email conversation. When she finally landed on an angle, she then wanted a final draft in than a week. Got it in before deadline. 2 months go by with no word, despite numerous emails from me to invoice, confirm receipt, etc. Then her revisions killing everything except one paragraph and asking that I change the subject matter completely. Before, the changes were at least tangentially related (from a recap to why the host organized the event, etc). This requested change was from a profile of one man's faith to a science article on animals. At this point, I'd worked on the piece for 7 months for a flat rate of $200. I refused, but offered to continue working on any edits on the existing topic. She then refused to pay me unless I gave her my notes so she could write the article in-house herself. I refused, and asked for the contact info of her EIC. She then lied and gave me the info for a friend on staff. Finally had to threaten to take the magazine to small claims to get my $200. ""Christian"" indeed."""
Christianity Today,2016,0.02,5000.0,False,100.0,1.0,15,Opinion,Light,Ongoing,Unknown/Other,Digital,No,
Christianity Today,2013,0.17,3000.0,False,510.00000000000006,,,Opinion,Light,Ongoing,First,Digital,No,
Sonoma Index-tribune,2017,0.18,700.0,False,126.0,1.0,30,Criticism,Medium,Assignment,All,Digital,Yes,
Dirt Rag Magazine,2018,0.0,1500.0,False,0.0,,,Feature,Heavy,Cold Pitch,First,,,"""The worst experience I've had with an editor. I pitched an article with a one page query to the editor of Dirt Rag, Eric McKeegan, and he responded that he'd like a 1,500 word piece and gave me a brief phrase to clarify the focus he'd like.

I got him the piece within the requested time frame and didn't hear back for weeks. I followed up and still didn't hear back. More weeks passed and then I contacted the publisher and soon received an email from the editor saying he'd take a look at the piece.

A few days later, he told me he didn't like it but gave no other details. After reminding him that I wrote it specifically based on his one-sentence description, I asked him what was unsatisfactory and what edits he'd like me to make.

He ignored this email and so I followed up weeks later asking if he had seen the email. Weeks later again, I explained that I'd need him to send me edits or pay me a kill fee. He didn't respond.

I've just sent another email to the publisher and if I don't get a response, I will be following up with my attorney.

Freelance journalism cannot thrive with editors like Eric McKeegan. If an editor asks a journalist to tailor-write a piece for him and then he declines, he must pay for the work in some fashion."""
The Atavist,2018,1.0,6500.0,False,6500.0,4.0,>90,,,,All,Digital,,"""Company did not pay for travel expenses; out-of-pocket travel cost me $1,500. Story was long delayed due to turnover at the company. When they finally got to it, however, it was edited well."""
Global Post,2014,0.33,750.0,False,247.5,,,News,Medium,Cold Pitch,All,Digital,Yes,"""The contract says that I can amend my ability to republish the work elsewhere. GlobalPost would have to agree, in writing."""
Global Post,2014,0.27,750.0,False,202.5,,,News,Medium,Cold Pitch,First,Digital,Yes,"""They always pay at the end of each month."""
Global Post,2013,0.63,800.0,False,504.0,,,Feature,,,,Digital,,"""Payment receive within a week, “but my bank information was already in the payment system. Would take longer otherwise.”"""
Alaska Airlines Magazine,2017,0.41,1850.0,False,758.5,2.0,Not Yet,Feature,Light,Assignment,First,Print,Yes,
Social Media Examiner,2014,0.0,1500.0,False,0.0,,,Feature,Medium,Ongoing,All,Digital,No,"""Don't pay writers ever because they can get ""thought leaders"" and ""experts"" to submit content for free. This has been the basis of their content strategy from the beginning. All articles are more than 1,000 words with 5 to 10 screen shots each. Editorial guidelines are pages long."""
Cnbc.com,2016,0.75,1000.0,False,750.0,4.0,Not Yet,,,,Unknown/Other,Digital,,
Cnbc.com,2014,0.5,1500.0,False,750.0,,,Feature,Medium,Ongoing,,Digital,Yes,
Shameless Magazine,2018,0.03,2000.0,False,60.0,2.0,30,Feature,Medium,Cold Pitch,All,Print,Yes,
Time.com,2018,0.5,1200.0,False,600.0,2.0,60,,,,Unknown/Other,Digital,,
Craft Beer Magazine,2014,0.04,750.0,False,30.0,,,Profile,Heavy,Cold Pitch,Unknown/Other,Digital,Verbal,"""I put ""heavy"" under reporting but I'm not sure if that's accurate. I interviewed one source for the article and the article was about him exclusively. """
National Geographic News,2018,1.0,2000.0,False,2000.0,2.0,42,,,,All,Digital,,
National Geographic News,2018,0.75,800.0,False,600.0,2.0,30,,,,All,Digital,,
National Geographic News,2018,1.0,500.0,False,500.0,4.0,>90,News,Medium,,All,Digital,Yes,
National Geographic News,2017,0.67,900.0,False,603.0,5.0,Not Yet,News,Medium,Ongoing,First,Digital,Yes,"""Payment is over 60 days late. Editing experience was positive, but won’t write for them again."""
National Geographic News,2017,0.75,800.0,False,600.0,4.0,Not Yet,News,Medium,Ongoing,First,Digital,Yes,
Under The Radar,2017,0.03,1500.0,False,45.0,5.0,Not Yet,Profile,Light,Referral,Unknown/Other,Digital,No,"""I have sent them two invoices and they have never answered or responded to my inquiries."""
Under The Radar,2017,0.03,1500.0,False,45.0,5.0,Not Yet,,,,All,Digital,,
Internet Retailer,2017,0.0,500.0,False,0.0,,,FoB,Light,Cold Pitch,Unknown/Other,Print,No,"""Editor writes, ""We don't pay,"" so I didn't write. Just putting entry here as a heads up to others that this is a no-pay pub."""
Women's Enews,2016,0.31,800.0,False,248.0,3.0,90,News,Medium,Cold Pitch,Unknown/Other,Digital,No,
Backpacker Magazine,2018,0.25,500.0,False,125.0,2.0,60,Blog,Medium,Referral,Unknown/Other,Digital,Yes,
Backpacker Magazine,2017,0.5,300.0,False,150.0,2.0,30,FoB,Medium,Cold Pitch,First,Digital,Yes,
Backpacker Magazine,2017,0.5,1200.0,False,600.0,2.0,30,FoB,Light,Referral,First,Print,Yes,
Espn Esports,2016,0.13,800.0,False,104.0,1.0,30,,,,Unknown/Other,Digital,,
Espn Esports,2016,0.0,300.0,False,0.0,1.0,42,,,,First,Print,,
Espn Esports,2016,0.17,600.0,False,102.00000000000001,4.0,Not Yet,Feature,Medium,Ongoing,All,Digital,No,
Townsquare Digital,2016,0.02,700.0,False,14.0,2.0,42,Blog,Medium,Ongoing,Unknown/Other,Digital,Yes,
The Occidental Observer,2018,0.09,1750.0,False,157.5,1.0,30,Opinion,Medium,Cold Pitch,Unknown/Other,Digital,No,
Waging Nonviolence,2018,0.07,1450.0,False,101.50000000000001,1.0,15,News,Medium,Ongoing,First,Digital,Yes,
Waging Nonviolence,2012,,,True,75.0,,,,,,,,,
Waging Nonviolence,2012,,,True,75.0,,,,,,,,,"""people-powered news and analysis"""
Waging Nonviolence,2012,,,True,75.0,,,,,,,,,
Chicago Magazine,2018,0.8,250.0,False,200.0,3.0,Not Yet,FoB,Medium,Solicited Pitch,Secondary,Print,Yes,
Chicago Magazine,2017,1.0,300.0,False,300.0,1.0,30,FoB,Medium,Assignment,Unknown/Other,Print,No,
Chicago Magazine,2017,0.1,1000.0,False,100.0,3.0,Not Yet,News,Medium,Ongoing,Unknown/Other,Digital,No,
The Surfer's Journal,2017,0.46,3500.0,False,1610.0,1.0,15,Feature,Heavy,Referral,First,Digital,No,
Nob Hill Gazette,2018,0.94,800.0,False,752.0,4.0,Not Yet,Profile,,,Unknown/Other,Digital,No,"""Payments will be months late and require multiple follow-ups yet they have the audacity to take 5% off a writer's fee for every day a story is overdue."""
Nob Hill Gazette,2018,0.5,1000.0,False,500.0,3.0,42,Feature,Heavy,Ongoing,Unknown/Other,,Verbal,"""Unclear expectations and irregular rates."""
Nob Hill Gazette,2018,0.5,1000.0,False,500.0,3.0,60,Feature,Heavy,Ongoing,Unknown/Other,,Verbal,"""Stopped writing for this magazine, found out editors do not pay all writers the same amount despite claiming they have set rates for different departments."""
Nob Hill Gazette,2018,0.67,1125.0,False,753.75,2.0,42,Profile,Medium,Ongoing,Unknown/Other,Digital,No,"""Publication pays well relatively quickly. The best interview assignments are always given to the magazine owner's wife. Okay money if you can tolerate the editors' erraticism but not recommended to seek out."""
M2 Magazine (australia And New Zealand),2013,,,,,,,,,,,,,
Brobible,2015,0.04,750.0,False,30.0,,,Opinion,Light,Cold Pitch,All,Digital,No,"""I wrote weekly fitness columns for BroBible for several months last year, after cold-pitching the editor. They paid $30 per article published, regardless of length, via a check at the end of each month. There was no editing, my articles were published as is. """
