comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.07,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,The Caravan,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",3500,2017
,Contract: No,$0.10,False,Heavy/Investigative reporting,Longer than 3 months ,svg-5,Platform: digital,The Caravan,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,800,2016
,Contract: ,$0.20,False,,Paid in 6 weeks ,svg-3,Platform: digital,Tnooz,,Rights: All rights,,2500-word,2018
"""(rate is actually in Australian dollars, $200 per piece)""",Contract: Yes,$0.38,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Particle,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,400,2018
"""Editor was WONDERFUL to work with. Really kind in general, and offered really helpful feedback to shape the piece.""",Contract: Yes,$0.17,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-1,Platform: digital,Broadly (vice),Cold pitch (no pre-existing relationship),Rights: First Serial Rights,profile or interview,1400,2018
,Contract: No,$0.31,False,Medium reporting,N/A ,svg-1,Platform: digital,Broadly (vice),Cold pitch (no pre-existing relationship),Rights: All rights,feature,1200,2017
,Contract: ,$0.20,False,,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Broadly (vice),,Rights: Other / I don't know,,1500-word,2017
,Contract: No,$0.20,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Broadly (vice),Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1500,2016
"""Great feedback, good editors. Good experience. """,Contract: No,$0.20,False,Medium reporting,,ng-hide,Platform: digital,Broadly (vice),Cold pitch (no pre-existing relationship),Rights: ,"criticism, review, or arts/entertainment converage",~1500,2016
,Contract: Yes,$0.35,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Broadly (vice),Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1000,2016
,Contract: No,$0.33,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: print,Broadly (vice),Cold pitch (no pre-existing relationship),Rights: Other / I don't know,profile or interview,1050,2016
,"Contract: Verbal or ""handshake"" agreement",$0.13,False,Medium reporting,Paid in 6 weeks ,svg-3,Platform: digital,Broadly (vice),Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1600,2016
"""I also provided several high-resolution photos to illustrate the piece.""",Contract: Yes,$0.17,False,Medium reporting,,ng-hide,Platform: digital,Broadly (vice),Cold pitch (no pre-existing relationship),Rights: All rights,feature,~3000,2015
,Contract: No,$0.38,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,America Magazine,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,2000,2018
,Contract: Yes,$0.25,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,America Magazine,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1000,2017
,Contract: Yes,$0.13,False,Little to no reporting,Paid in 6 weeks ,svg-3,Platform: digital,New York Times Motherlode,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",750,2017
"""Was asked by Motherlode to interview a NYT reporter re a piece he/she had written, and then give the whole topic a parenting spin.""",Contract: Yes,,,Medium reporting,,ng-hide,Platform: digital,New York Times Motherlode,Ongoing/pre-existing relationship with editor or publication,Rights: ,"opinion, editorial, column or essay",~750,2016
,Contract: Yes,$0.05,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Box24 Casino Review,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,blog post,3500,2018
,Contract: Yes,$0.05,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Box24 Casino Review,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment coverage",3500,2018
,Contract: ,$0.03,False,,Paid in 15 days ,svg-1,Platform: digital,Mothers Always Write,,Rights: All rights,,1500-word,2018
"""The editors were lovely to work with and very encouraging and communicative.""",Contract: No,$0.02,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Mothers Always Write,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1047,2017
"""It was just published today so it's normal that I haven't gotten payment yet.""",Contract: No,$0.21,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Dig Boston,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,profile or interview,717,2018
,Contract: No,$0.13,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Dig Boston,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,2300,2018
,Contract: Yes,$0.63,False,Heavy/Investigative reporting,Paid in 3 months ,svg-3,Platform: digital,Popular Science,Assignment (editor came to you),Rights: First Serial Rights,feature,1600,2019
,Contract: Yes,$2.00,False,Medium reporting,Paid in 3 months ,svg-3,Platform: print,Popular Science,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,500,2017
,Contract: Yes,$0.13,False,Medium reporting,Longer than 3 months ,svg-4,Platform: digital,Popular Science,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,1200,2016
,Contract: Yes,$2.00,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: print,Popular Science,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,fob,990,2016
,Contract: Yes,$1.60,False,Medium reporting,,ng-hide,Platform: print,Popular Science,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,~5000,2015
,Contract: ,$0.35,False,,,ng-hide,Platform: digital,Popular Science,,Rights: ,news story,1000,2013
,Contract: Yes,$0.89,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-2,Platform: digital,California Sunday Magazine,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,4500,2017
"""Rate is per video script.""","Contract: Verbal or ""handshake"" agreement",$0.14,False,Little to no reporting,Paid in 6 weeks ,svg-2,Platform: digital,Wisecrack,Solicited pitch (editor asked you to pitch),Rights: All rights,other,3500,2017
,"Contract: Verbal or ""handshake"" agreement",$0.30,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,Vice Sports,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,2000,2017
"""Publication paid for travel expenses""",Contract: No,$0.12,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,Vice Sports,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,4973,2016
,Contract: ,$0.25,False,,Paid in 1 month ,svg-1,Platform: digital,Vice Sports,,Rights: Other / I don't know,,1500-word,2016
,"Contract: Verbal or ""handshake"" agreement",$0.18,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Vice Sports,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,profile or interview,4500,2016
"""Pitched through literary agent.""",Contract: Yes,$0.23,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Vice Sports,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,profile or interview,2200,2016
,Contract: Yes,$0.18,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,Vice Sports,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",2200,2016
,Contract: Yes,$0.27,False,Medium reporting,,ng-hide,Platform: digital,Vice Sports,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
"""As previously reported invoices are processed by accounting the 15th and 30th of each month, and cash is direct deposited 30 days following the invoice process date.

I have been writing for various Vice Media sections for about a year, and this is the first contract I have signed. It's a one-off arrangement, and only applied to the one assignment. The editor who gave me the contract has since left the company, and I haven't been given another contract since.
""",Contract: Yes,$0.13,False,Medium reporting,,ng-hide,Platform: digital,Vice Sports,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,~750,2014
,Contract: No,$0.50,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Pittsburgh Quarterly,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1400,2018
,Contract: No,$0.50,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Pittsburgh Quarterly,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1400,2017
,Contract: ,$0.36,False,,Paid in 15 days ,svg-1,Platform: digital,Flare,,Rights: All rights,,750-word,2018
,Contract: No,$0.38,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Flare,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",1333,2018
,Contract: Yes,$0.29,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Flare,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1318,2018
"""Payment is processed within 45 days from submission of the article. Good communication.""","Contract: Verbal or ""handshake"" agreement",$0.80,False,Little to no reporting,,ng-hide,Platform: digital,Flare,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~375,2015
,"Contract: Verbal or ""handshake"" agreement",$0.06,False,Heavy/Investigative reporting,Paid in 2 months ,svg-2,Platform: digital,La Review Of Books,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",1800,2018
,Contract: Yes,$0.34,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Free Speech Radio News,Assignment (editor came to you),Rights: First Serial Rights,feature,593,2017
"""Perhaps this was not true in the past but these days the turnover seems unusually high. I can only wonder if this is because my experience was not uncommon and other freelancers are also not getting paid on time and treated properly for their work.""",Contract: No,$0.05,False,Little to no reporting,Paid in 3 months ,svg-5,Platform: digital,The Jewish Advocate,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",800,2017
,Contract: No,$0.07,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Jewish Advocate,Assignment (editor came to you),Rights: All rights,news story,750,2016
"""$50-100 per piece. Started with cold pitch but now have pre-existing relationship with editor so get commission and solicited work, work and pay are consistent once relationship established, not all stories submitted make it to print though so sometimes thats a negative""",Contract: No,$0.07,False,Medium reporting,,ng-hide,Platform: digital,Lifestyle Publications,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,~750,2015
,Contract: Yes,$0.48,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Undark,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1050,2018
"""Undark is a great publication. Editor is good and straightforward, I found. They pay $1/word of commissioned length.""",Contract: No,$1.00,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Undark,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,500,2018
,Contract: No,$0.42,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Undark,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1200,2018
,Contract: Yes,$1.00,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,Undark,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1500,2018
,Contract: ,$1.00,False,,Paid in 1 month ,svg-1,Platform: digital,Undark,,Rights: All rights,,1500-word,2018
,Contract: Yes,$0.53,False,Medium reporting,Paid in 2 months ,svg-2,Platform: digital,Undark,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",950,2017
,Contract: ,$1.00,False,,Paid in 1 month ,svg-2,Platform: digital,Undark,,Rights: First Serial Rights,,1500-word,2017
"""Great editing experience, about five rewrites, but the editors were very, very thorough. Was paid before publication. Not sure that's ever happened to me before!""",Contract: Yes,$0.40,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Undark,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,3000,2017
,Contract: Yes,$0.50,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,Undark,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,blog post,500,2016
,Contract: Yes,,,Little to no reporting,,ng-hide,Platform: digital,Undark,Assignment (editor came to you),Rights: ,"opinion, editorial, column or essay",~375,2016
,Contract: Yes,$0.67,False,Little to no reporting,Paid in 2 months ,svg-1,Platform: print,Imbibe,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,fob,600,2018
,Contract: Yes,$0.65,False,Medium reporting,Paid in 2 months ,svg-1,Platform: print,Imbibe,Assignment (editor came to you),Rights: All rights,feature,2000,2018
,Contract: Yes,$0.07,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Recruiter Today,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,700,2017
,"Contract: Verbal or ""handshake"" agreement",$0.05,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Arc Digital,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2018
,Contract: No,$0.00,False,Heavy/Investigative reporting,,ng-hide,Platform: print,Ny Arts Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment converage",~3000,2015
,Contract: Yes,$0.80,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,Artnews,Assignment (editor came to you),Rights: All rights,feature,2500,2017
,Contract: ,$0.83,False,,,ng-hide,Platform: print,Artnews,,Rights: ,fob,300,2013
,Contract: No,$1.00,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Washingtonian,Assignment (editor came to you),Rights: Other / I don't know,fob,1020,2016
,Contract: Yes,$1.07,False,Little to no reporting,,ng-hide,Platform: digital,Washingtonian,Cold pitch (no pre-existing relationship),Rights: ,"opinion, editorial, column or essay",~750,2015
,Contract: No,$0.13,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Hyperallergic,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",750,2018
"""I should have taken this piece to another publication but it was the first piece I'd ever written for pay, so I was mostly concerned with getting it published at all. This was a reported feature with no time hook, no news peg.""",Contract: No,$0.08,False,Heavy/Investigative reporting,Paid in 1 month ,svg-3,Platform: digital,Hyperallergic,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1300,2018
,Contract: No,$0.10,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Hyperallergic,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2018
"""Multiple rounds of revision back and forth, poor timeline communication from editor""",Contract: No,$0.11,False,Little to no reporting,Paid in 2 months ,svg-2,Platform: digital,Hyperallergic,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",950,2018
,Contract: Yes,$0.10,False,Medium reporting,Paid in 2 months ,svg-2,Platform: digital,Hyperallergic,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1000,2017
,Contract: No,$0.15,False,Medium reporting,Paid in 2 months ,svg-2,Platform: digital,Hyperallergic,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment coverage",500,2016
,Contract: Yes,$0.05,False,Medium reporting,,ng-hide,Platform: digital,Hyperallergic,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,~1500,2015
,Contract: Yes,$0.05,False,Medium reporting,,ng-hide,Platform: digital,Hyperallergic,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,~1500,2015
"""Editor put me through a bunch of hassle, changing contact for the story & asking follow-up questions before revealing they don't pay writers.""",Contract: No,$0.00,False,Medium reporting,,svg-false,Platform: digital,American Educator,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1200,2017
,Contract: Yes,$0.09,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,Parallax News,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,other,1350,2016
,"Contract: Verbal or ""handshake"" agreement",$0.91,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Monocle,Assignment (editor came to you),Rights: First Serial Rights,fob,400.0,2016
"""They pay 60 British Pence per word""",Contract: ,,,,,ng-hide,Platform: print,Monocle,,Rights: ,,,2013
,Contract: Yes,$0.25,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,World Politics Review,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,news story,3000,2017
,"Contract: Verbal or ""handshake"" agreement",$0.06,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Ourselves Black,Assignment (editor came to you),Rights: All rights,news story,800,2016
,Contract: ,$0.10,False,Medium reporting,Paid in 1 month ,svg-3,Platform: digital,Sb Nation,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,2000,2016
,Contract: Yes,$0.16,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-2,Platform: digital,Esquire (online),Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,3200,2017
,Contract: Yes,$0.26,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,Esquire (online),Cold pitch (no pre-existing relationship),Rights: All rights,profile or interview,2314,2016
,Contract: ,$50,True,,,ng-hide,Platform: digital,Esquire (online),,Rights: ,, feature,2013
"""$.50/word""",Contract: Yes,$0.43,False,Little to no reporting,,ng-hide,Platform: digital,Yahoo Beauty,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~750,2015
"""“argued up from $300.”""",Contract: ,$0.40,False,,,ng-hide,,Urban Agenda Magazine,,Rights: ,feature,1000,2013
"""I worked on election night. I wrote two blurbs at polling locations, which were not published, and fed quotes from a congressman to the editor. I am a graduate student; the Sun reached out to us and professors recommended me.""",Contract: No,$0.19,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: other,The Baltimore Sun,Referral (you had a connection who connected you to the editor),Rights: All rights,other,400,2018
"""Editors were a pleasure to work with. Piece did go through 3 (minor) rounds of edits, but all edits were clearly to answer potential reader questions and make the piece better. VERY quick payment once an invoice was submitted--the piece hasn't even ran yet! Paid $50 extra per photo. Would love to write for them again!""",Contract: Yes,$0.64,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Successful Farming,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1566,2017
,Contract: Yes,$1.00,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: print,The Walrus,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,5000,2018
"""Three months turnaround on an edit that completely contradicted the initial assignment. Filed a re-write, then another three months of polite, persistent emails for acknowledgement of receipt. Editor finally agreed to a kill fee (I had to ask more than once if the assignment was dead) only to suggest I invoice for only 75% of what I was contractually owed. I invoiced for the full amount was paid very promptly in about a week.""",Contract: Yes,$0.10,False,Medium reporting,Paid in 15 days ,svg-3,Platform: digital,The Walrus,Assignment (editor came to you),Rights: All rights,"opinion, editorial, column or essay",4000,2018
,Contract: Yes,$1.00,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,The Walrus,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",750,2018
,Contract: Yes,$0.77,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Walrus,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",700,2018
"""The piece was assigned in February, I submitted a final edit in March. In June, a ""fact checked and copy edited,"" clean, print-ready draft was returned to me that had completely rewritten without my input, which included significant new language and factual errors introduced by the fact checker. Flagging these changes and asking for a reverted draft resulted in the piece landing back in factcheck. The magazine refuses to accept an invoice for a piece before it has gone through this new fact check process. As a result we are ~5 months out from my submitting my final edits and my invoice has not been fulfilled or even accepted.""",Contract: Yes,$1.00,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,The Walrus,Assignment (editor came to you),Rights: First Serial Rights,"opinion, editorial, column or essay",700,2018
,Contract: ,$0.20,False,,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,The Walrus,,Rights: First Serial Rights,,4000-word,2018
,Contract: Yes,$1.00,False,Medium reporting,Paid in 2 months ,svg-3,Platform: print,The Walrus,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,fob,800,2017
,Contract: Yes,$1.00,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: print,The Walrus,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,feature,5000,2017
"""Editor was slow to reply to emails and inquiries - more than a week, sometimes two weeks. Sometimes my emails would ""get lost"" and I'd have to email twice before I got a reply; some requests went entirely ignored.""",Contract: Yes,$0.42,False,Medium reporting,Paid in 2 months ,svg-2,Platform: digital,The Walrus,Referral (you had a connection who connected you to the editor),Rights: All rights,feature,1200,2016
,Contract: ,$0.20,False,,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,The Walrus,,Rights: First Serial Rights,,2000-word,2016
,"Contract: Verbal or ""handshake"" agreement",$0.25,False,Medium reporting,N/A ,svg-1,Platform: digital,The Walrus,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2016
,"Contract: Verbal or ""handshake"" agreement",$0.13,False,Little to no reporting,Longer than 3 months ,svg-4,Platform: digital,The Walrus,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,fiction,1000,2016
,Contract: ,,,,,ng-hide,Platform: digital,The Walrus,,Rights: ,, feature,2013
,Contract: Yes,$0.10,False,Medium reporting,Paid in 2 months ,svg-4,Platform: digital,Sonoma Valley Sun,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,1200,2017
,Contract: Yes,$0.50,False,Little to no reporting,Paid in 2 months ,svg-2,Platform: digital,Mdedge,Cold pitch (no pre-existing relationship),Rights: All rights,news story,350,2018
,"Contract: Verbal or ""handshake"" agreement",$0.07,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Smashing Magazine,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"opinion, editorial, column or essay",2900,2018
,Contract: Yes,$0.13,False,Medium reporting,,ng-hide,Platform: digital,Smashing Magazine,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
,Contract: No,$0.00,False,Medium reporting,,ng-hide,Platform: digital,Rappler,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~750,2015
,Contract: ,$0.60,False,,Paid in 1 month ,svg-1,Platform: digital,Science Magazine,,Rights: Other / I don't know,,700-word,2017
,Contract: ,$6.00,False,,Paid in 6 weeks ,svg-1,Platform: print,Science Magazine,,Rights: Other / I don't know,,1500-word,2017
""" Prior rate was $1,500 per page but it is now $1,200 per page for the print magazine. """,Contract: Yes,$0.80,False,Heavy/Investigative reporting,,ng-hide,Platform: print,Science Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,~1500,2015
"""Science pays $1500/page for news stories (including features) in the print magazine.""",Contract: Yes,$1.33,False,Heavy/Investigative reporting,,ng-hide,Platform: print,Science Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,~1500,2014
"""Very prompt payment.""",Contract: Yes,$0.47,False,Medium reporting,,ng-hide,Platform: digital,Science Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,~750,2014
,Contract: Yes,$0.01,False,Medium reporting,,ng-hide,Platform: digital,Creative Screenwriting,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,profile or interview,~5000,2015
,Contract: ,$0.37,False,,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Something Else! Reviews,,Rights: Secondary Rights/Reprint,,1500-word,2018
,Contract: No,$0.00,False,Medium reporting,,ng-hide,Platform: digital,Something Else! Reviews,Ongoing/pre-existing relationship with editor or publication,Rights: ,profile or interview,~1500,2013
