comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""I had to follow up twice to get the check. """,Contract: Yes,$0.13,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Salon,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,~1500,2014
"""Still haven't received check after nearly two months. Piece was pitched on spec (written first), but extensive editing--requiring a lot of effort-- took place afterwards. """,Contract: No,$0.01,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Salon,Submission/spec (piece was written prior and then submitted for publication),Rights: All rights,feature,~8000,2013
,Contract: ,$0.11,False,,,ng-hide,Platform: digital,Salon,,Rights: ,"opinion, editorial, column or essay",1400,2013
,Contract: ,$0.04,False,,,ng-hide,Platform: digital,Salon,,Rights: ,feature,~4500,2013
,Contract: ,$200,True,,,ng-hide,,Salon,,Rights: ,,,2013
,Contract: ,$0.75,False,,,ng-hide,,Salon,,Rights: ,"opinion, editorial, column or essay",200,2013
,Contract: ,$150,True,,,ng-hide,,Salon,,Rights: ,,,2012
,Contract: ,$100,True,,,ng-hide,,Salon,,Rights: ,, other,2012
,Contract: ,$250,True,,,ng-hide,,Salon,,Rights: ,, feature,2012
"""“Didn’t receive it until 6 months after publication, after much reminding. At one point, my editor actually apologized, saying that Salon is ‘notorious’ for late payments.”""",Contract: ,$0.10,False,Cold pitch (no pre-existing relationship),,ng-hide,,Salon,,Rights: ,"opinion, editorial, column or essay",1500,2012
"""""Yikes!""""",Contract: ,$0.06,False,,,ng-hide,,Salon,,Rights: ,"opinion, editorial, column or essay",1200,2012
,Contract: ,$150,True,,,ng-hide,,Salon,,Rights: ,,,2012
"""$100 to reprint pieces; up to $250 for original features""",Contract: ,$100,True,,,ng-hide,,Salon,,Rights: ,,,2012
