comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.00,False,Medium reporting,,svg-false,Platform: digital,Los Angeles Review Of Books,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,blog post,2500,2017
,Contract: No,$0.05,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,profile or interview,2000,2017
"""Editor offered $0 to post news article on the blog of the LARB. I declined and asked if he'd consider it for $100 - he appealed to other editors and was shot down. Would not approach publication again for any serious work.""",Contract: No,$0.00,False,Medium reporting,,svg-false,Platform: digital,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,2000,2017
,Contract: No,$0.03,False,Medium reporting,Longer than 3 months ,svg-4,Platform: digital,Los Angeles Review Of Books,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",4000,2016
"""E-mails to editor would often go 4-6 weeks without a response. Correspondence extended over several months with multiple broken promises (i.e. ""I'll get this to you Friday"" meant six weeks later).""",Contract: Yes,$0.03,False,Little to no reporting,Paid in 6 weeks ,svg-2,Platform: digital,Los Angeles Review Of Books,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",3800,2016
,Contract: No,$0.00,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1600,2016
,Contract: No,$0.03,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1700,2016
"""Editor was a great help and payment was sent within a month of publication.""","Contract: Verbal or ""handshake"" agreement",$0.03,False,Little to no reporting,,ng-hide,Platform: digital,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"criticism, review, or arts/entertainment converage",~3000,2015
"""Editor was great to work with, but you have to ask if you want to get paid. """,Contract: No,$0.02,False,Medium reporting,,ng-hide,Platform: digital,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: ,"criticism, review, or arts/entertainment converage",~3000,2015
"""I had to ask, and the film editor was very coy about it. I then had to follow up several times afterward with another editor. At that point, the $50 was just a token.""",Contract: No,$0.03,False,Medium reporting,,ng-hide,Platform: digital,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: ,"criticism, review, or arts/entertainment converage",~1500,2014
"""Was contacted by their billing department after I invoiced, but still haven't received the money. (Though in fairness, it has only been about a month since the piece was published.) Was only offered any $ at all after I asked. """,Contract: No,$0.02,False,Little to no reporting,,ng-hide,Platform: digital,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,~3000,2014
,Contract: No,$0.02,False,Medium reporting,,ng-hide,Platform: digital,Los Angeles Review Of Books,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,profile or interview,~3000,2014
"""LARB pays a flat rate of $100. This is low but at least they make an effort to pay. Plus great editing, enthusiastic editors and prompt payment.""",Contract: Yes,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,Los Angeles Review Of Books,Ongoing/pre-existing relationship with editor or publication,Rights: Secondary Rights/Reprint,feature,~1500,2014
"""
No ""reporting"" involved but prepping, transcribing and editing this took massive. amounts. of. time. I was on vacation with my family when this came out and they were all super impressed. I then realized that they think I make pretty decent money as a writer. When I told them the $50 figure it was like the curtain on the tabernacle ripped, they realized there is no God and space is vast, empty and cruel. They honestly thought I was typing away and checks were rolling in and it was all so jolly and nice. I felt a little bit bad for them. And really embarrassed because it's not my fault that no one pays but somehow I felt that when they learned the truth they didn't think I was a ""real"" writer any more, when the moment before they had basking in the reflected glory of having a Writer in the family. God, this is sad. """,Contract: No,$0.02,False,Little to no reporting,,ng-hide,Platform: digital,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,profile or interview,~3000,2014
,Contract: No,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,Los Angeles Review Of Books,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment converage",~1500,2014
"""Boy, were these folks hard to work with. [The editor] who assigned the piece took it upon herself to rewrite my entire article. The version she sent back for my approval contained many clichés and factual errors that made it seem as if the reviewer hadn't read the book. I had to write to the managing editor to get my piece restored to the version I wrote (with acceptable edits). But before the article was published, another reviewer's piece on the same book ran ahead of mine, without the editor's knowledge. My piece eventually ran, however, but neither editor apologized. This piece was one of their most retweeted articles of the year. This was a lot of work and aggravation for $50.""",Contract: No,$0.02,False,Medium reporting,,ng-hide,Platform: digital,Los Angeles Review Of Books,Assignment (editor came to you),Rights: First Serial Rights,"criticism, review, or arts/entertainment converage",~3000,2014
,Contract: ,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,Los Angeles Review Of Books,,Rights: ,"criticism, review, or arts/entertainment converage",~1500,2013
,Contract: ,,,,,ng-hide,Platform: digital,Los Angeles Review Of Books,,Rights: ,," criticism, review, or arts/entertainment converage",2012
,Contract: ,$100,True,,,ng-hide,Platform: digital,Los Angeles Review Of Books,,Rights: ,," criticism, review, or arts/entertainment converage",2012
"""They offer a $100 honorarium, but you have to ask for it. """,Contract: ,$0.03,False,,,ng-hide,Platform: digital,Los Angeles Review Of Books,,Rights: ,"criticism, review, or arts/entertainment converage",~3000,2012
,Contract: ,$100,True,,,ng-hide,,Los Angeles Review Of Books,,Rights: ,,,2012
"""""but you have to ask for it""""",Contract: ,$100,True,,,ng-hide,,Los Angeles Review Of Books,,Rights: ,," criticism, review, or arts/entertainment converage",2012
